FROM,TO,DAYSIM
1,1,110153
2N,1,136550
2NW,1,52109
2S,1,88924
2SW,1,48823
2W,1,31349
2WNW,1,23067
2WSW,1,23457
3IN,1,9932
3N,1,13535
3NW,1,14155
3S,1,15061
3SW,1,22483
3W,1,12839
3WNW,1,10669
3WSW,1,29728
4N,1,6673
4NW,1,14193
4SW,1,13044
4W,1,2509
4WNW,1,2681
4WSW,1,4522
XIL,1,2475
XIN,1,4193
XWI,1,991
1,2N,17573
2N,2N,115562
2NW,2N,38388
2S,2N,23264
2SW,2N,14111
2W,2N,10193
2WNW,2N,16634
2WSW,2N,8002
3IN,2N,1906
3N,2N,7801
3NW,2N,8899
3S,2N,3063
3SW,2N,5264
3W,2N,2149
3WNW,2N,5044
3WSW,2N,3646
4N,2N,3424
4NW,2N,7915
4SW,2N,2286
4W,2N,533
4WNW,2N,1430
4WSW,2N,795
XIL,2N,527
XIN,2N,531
XWI,2N,601
1,2NW,8045
2N,2NW,29402
2NW,2NW,64171
2S,2NW,11647
2SW,2NW,10205
2W,2NW,9659
2WNW,2NW,19299
2WSW,2NW,6576
3IN,2NW,1734
3N,2NW,4046
3NW,2NW,15990
3S,2NW,2113
3SW,2NW,4405
3W,2NW,4743
3WNW,2NW,12520
3WSW,2NW,5515
4N,2NW,2177
4NW,2NW,10499
4SW,2NW,2777
4W,2NW,1099
4WNW,2NW,2508
4WSW,2NW,1053
XIL,2NW,1204
XIN,2NW,478
XWI,2NW,830
1,2S,7293
2N,2S,8369
2NW,2S,4817
2S,2S,86862
2SW,2S,16477
2W,2S,4108
2WNW,2S,3281
2WSW,2S,3728
3IN,2S,11244
3N,2S,525
3NW,2S,1021
3S,2S,14548
3SW,2S,11477
3W,2S,998
3WNW,2S,1226
3WSW,2S,2985
4N,2S,506
4NW,2S,962
4SW,2S,4717
4W,2S,99
4WNW,2S,207
4WSW,2S,562
XIL,2S,855
XIN,2S,2669
XWI,2S,47
1,2SW,4513
2N,2SW,5233
2NW,2SW,4442
2S,2SW,21204
2SW,2SW,49295
2W,2SW,3783
2WNW,2SW,3830
2WSW,2SW,8117
3IN,2SW,1973
3N,2SW,233
3NW,2SW,1244
3S,2SW,3544
3SW,2SW,18265
3W,2SW,1164
3WNW,2SW,1647
3WSW,2SW,4785
4N,2SW,174
4NW,2SW,1141
4SW,2SW,6282
4W,2SW,318
4WNW,2SW,317
4WSW,2SW,801
XIL,2SW,930
XIN,2SW,809
XWI,2SW,87
1,2W,4299
2N,2W,6464
2NW,2W,8328
2S,2W,9046
2SW,2W,8388
2W,2W,35268
2WNW,2W,9508
2WSW,2W,12871
3IN,2W,1005
3N,2W,611
3NW,2W,2463
3S,2W,1904
3SW,2W,4331
3W,2W,6296
3WNW,2W,4631
3WSW,2W,8046
4N,2W,415
4NW,2W,1776
4SW,2W,2952
4W,2W,571
4WNW,2W,1056
4WSW,2W,1211
XIL,2W,705
XIN,2W,298
XWI,2W,165
1,2WNW,2211
2N,2WNW,4892
2NW,2WNW,9816
2S,2WNW,4403
2SW,2WNW,4249
2W,2WNW,6209
2WNW,2WNW,16358
2WSW,2WNW,3541
3IN,2WNW,412
3N,2WNW,461
3NW,2WNW,1580
3S,2WNW,478
3SW,2WNW,1609
3W,2WNW,1595
3WNW,2WNW,2850
3WSW,2WNW,1331
4N,2WNW,258
4NW,2WNW,1451
4SW,2WNW,975
4W,2WNW,146
4WNW,2WNW,383
4WSW,2WNW,424
XIL,2WNW,304
XIN,2WNW,100
XWI,2WNW,110
1,2WSW,3575
2N,2WSW,3616
2NW,2WSW,3180
2S,2WSW,6965
2SW,2WSW,12387
2W,2WSW,7345
2WNW,2WSW,2627
2WSW,2WSW,28181
3IN,2WSW,1087
3N,2WSW,232
3NW,2WSW,876
3S,2WSW,1371
3SW,2WSW,7281
3W,2WSW,2282
3WNW,2WSW,1301
3WSW,2WSW,6325
4N,2WSW,200
4NW,2WSW,591
4SW,2WSW,4141
4W,2WSW,229
4WNW,2WSW,200
4WSW,2WSW,965
XIL,2WSW,410
XIN,2WSW,286
XWI,2WSW,63
1,3IN,847
2N,3IN,322
2NW,3IN,158
2S,3IN,3840
2SW,3IN,742
2W,3IN,100
2WNW,3IN,85
2WSW,3IN,309
3IN,3IN,108004
3N,3IN,35
3NW,3IN,40
3S,3IN,4680
3SW,3IN,1309
